ID No.,Nickname,PCE,Voc (V),Jsc (mA cm^2),FF,Mw (kg mol^-1),Mn (kg mol^-1),PDI (=Mw/Mn),Monomer (g mol^-1),-HOMO (eV),-LUMO (eV),bandgap(eV),SMILES
1,PBTTT-C14,2.34,0.53,9.37,0.48,46.2,22.0 ,2.10 ,724,5.1,3.1,1.88,CC1=CC(CCCCCCCCCCCCCC)=C(C2=CC3=C(S2)C=C(C4=C(CCCCCCCCCCCCCC)C=C(C)S4)S3)S1
2,PCDTBT,3.6,0.89,6.92,0.63,73.0,37.0 ,1.97 ,731,5.5,3.6,1.88,CC1=CC(N(C(CCCCCCCC)CCCCCCCC)C2=C3C=CC(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C57)S4)=C2)=C3C=C1
3,PCPDTBT,5.12,0.61,15.73,0.53,47.6,26.6 ,1.79 ,564,5.3,3.55,1.43,CC1=CC(C(CC(CCCC)CC)(CC(CCCC)CC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
4,PffBT4T-2OD,10.2,0.77,18.4,0.74,93.7,47.5 ,1.97 ,1089,5.34,3.69,1.65,CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
5,PffBT4T-2OD,10.0,0.77,18.2,0.74,52.9,28.2 ,1.88 ,1089,5.2,3.57,1.63,CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=CC=C(C3=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C4=CC(F)=C(C5=C(F)C=C(C)S5)S4)S3)C6=NSN=C62)S1
6,PffBT4T-2OD,9.0,0.76,17.9,0.65,71.7,38.9 ,1.84 ,1089,5.34,3.69,1.65,CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
7,PffBT4T-2OD,7.7,0.72,16.7,0.63,29.5,16.6 ,1.78 ,1089,5.34,3.69,1.65,CC1=C(CC(CCCCCCCC)CCCCCCCCCC)C=C(C2=C(F)C(F)=C(C3=CC(CC(CCCCCCCCCC)CCCCCCCC)=C(C4=CC=C(C5=CC=C(C)S5)S4)S3)C6=NSN=C62)S1
8,PNTz4T-2OD,9.7,0.76,19.8,0.68,49.9,30.2 ,1.65 ,1161,5.24,3.71,1.53,CC1=C(C[C@@H](CCCCCCCC)CCCCCCCCCC)C=C(C2=CC(C3=NSN=C3C(C4=CC(CC(CCCCCCCC)CCCCCCCCCC)=C(C5=CC=C(C6=CC=C(C)S6)S5)S4)=C7)=C7C8=NSN=C82)S1
10,PSBTBT,4.7,0.68,12.7,0.55,21.6,18.0 ,1.20 ,580,5.05,3.27,1.45,CC1=CC([Si](CC(CCCC)CC)(CC(CC)CCCC)C2=C3SC(C4=CC=C(C)C5=NSN=C45)=C2)=C3S1
11,PNTz4T,9.77,0.71,19.4,0.734,126.2,52.6 ,2.40 ,1273,5.14,3.46,1.56,CC1=CC=C(C2=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C3=CC(C4=NSN=C4C(C5=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C6=CC=C(C)S6)S5)=C7)=C7C8=NSN=C83)S2)S1
13,PNOz4T,8.5,0.96,14.5,0.64,417.0,57.2 ,7.28 ,1241,5.48,3.65,1.52,CC1=CC=C(C2=C(CC(CCCCCCCCCC)CCCCCCCCCCCC)C=C(C3=CC(C4=NON=C4C(C5=CC(CC(CCCCCCCCCCCC)CCCCCCCCCC)=C(C6=CC=C(C)S6)S5)=C7)=C7C8=NON=C83)S2)S1
14,P3HT,4.4,0.51,15.0,0.575,21.1,1.2 ,1.82 ,196,5.2,3.27,1.93,CC1=CC(CCCCCC)=C(C)S1
15,PQT-12,1.15,0.61,4.31,0.44,11.2,9.5 ,1.18 ,694,5.1,3.1,1.93,CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C4=C(CCCCCCCCCCCC)C=C(C)S4)S3)S2)S1
16,PQT-12,0.83,0.54,4.3,0.36,47.0,39.0 ,1.21 ,694,5.1,3.1,1.93,CC1=CC(CCCCCCCCCCCC)=C(C2=CC=C(C3=CC=C(C4=C(CCCCCCCCCCCC)C=C(C)S4)S3)S2)S1
17,PTB7-Th,7.64,0.79,14.02,0.691,124.0,72.9 ,1.70 ,918,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
18,PTB7-Th,7.02,0.79,13.02,0.69,78.0,24.0 ,2.60 ,918,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
19,PTB7-Th,5.9,0.77,12.16,0.63,249.0,40.0 ,3.70 ,918,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
20,PTB7-Th,5.35,0.77,11.63,0.6,375.0,48.0 ,4.70 ,918,5.22,3.64,1.58,O=C(OCC(CC)CCCC)C1=C(F)C2=C(C)SC(C3=CC4=C(C(C5=CC=C(CC(CC)CCCC)S5)=C(C=C(C)S6)C6=C4C7=CC=C(CC(CC)CCCC)S7)S3)=C2S1
21,PTB7,7.4,0.74,14.5,0.69,97.5,46.4 ,2.10 ,786,5.15,3.31,1.72,CC1=C(C(F)=C(C(OCC(CC)CCCC)=O)S2)C2=C(C3=CC4=C(OCC(CCCC)CC)C(SC(C)=C5)=C5C(OCC(CCCC)CC)=C4S3)S1
22,PPDTBT,4.89,0.81,10.4,0.61,42.7,17.8 ,2.40 ,885,5.29,3.57,1.72,CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=CC=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
22,PPDTBT,4.89,0.81,10.4,0.61,42.7,17.8 ,2.40 ,885,5.29,3.57,1.72,CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=CC=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
23,PPDTFBT,5.02,0.81,10.2,0.62,71.5,29.8 ,2.40 ,903,5.35,3.63,1.72,CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=C(F)C=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
24,PPDT2FBT,7.06,0.86,11.4,0.74,119.3,42.6 ,2.80 ,921,5.45,3.69,1.76,CC(S1)=CC=C1C2=C(OCC(CCCCCC)CCCCCCCC)C=C(C3=CC=C(C4=C(F)C(F)=C(C)C5=NSN=C45)S3)C(OCC(CCCCCCCC)CCCCCC)=C2
26,PCV,0.4,0.85,0.889,0.464,3.9,2.8 ,1.40 ,425,5.61,2.83,2.3,CC1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C)=C3)=C4C=C1
27,PCVT,0.4,0.7,1.076,0.445,5.7,4.1 ,1.40 ,533,5.52,2.92,2.2,C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=CC=C(C)S5)=C3)=C4C=C1
28,PCVTT,0.3,0.55,0.859,0.484,7.8,3.7 ,2.10 ,840,5.49,3.02,2.1,C/C=C/C1=CC(N(C2=CC=C(OCCCCCCCC)C=C2)C3=C4C=CC(/C=C/C5=C(CCCCCCCC)C=C(C6=CC(CCCCCCCC)=C(C)S6)S5)=C3)=C4C=C1
